Line_No,Date_first_seen,Duration,Proto,Flags,Tos,Packets,Bytes,Flows,src_ips,src_ports,dst_ips,dst_ports
4808,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,    172.28.5.89,41269 ,  47.73.170.245,5094  
4809,2017-10-23 16:19:41.804,0.0, UDP,......,0,0,0,1.0,  172.28.16.112,35580 ,    193.1.186.2,53    
4810,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 114.99.204.201,64821 , 157.190.83.125,23    
4811,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   45.77.153.18,48329 ,157.190.247.184,9922  
4812,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  172.28.27.159,57358 ,    192.168.1.3,9100  
4813,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   45.77.156.97,48240 , 157.190.214.76,2211  
4814,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 141.212.122.82,40751 ,157.190.114.123,143   
4815,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   45.77.156.97,48240 , 157.190.31.135,2211  
4816,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   164.52.7.131,40125 , 157.190.220.51,443   
4817,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 122.96.140.226,5070  ,157.190.180.163,1433  
4818,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   172.28.8.142,64884 , 23.212.230.186,443   
4819,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   172.28.8.142,64886 , 23.212.230.186,443   
4820,2017-10-23 16:19:41.854,0.0, TCP,......,0,0,0,1.0, 157.190.45.158,58038 ,   52.94.220.16,80    
4821,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   164.52.7.131,40126 , 157.190.220.51,443   
4822,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  61.61.237.171,33217 , 157.190.241.85,445   
